j,k,0,1
0,0,1.0000000000000056,0.9999999999999996
0,1,0.0,0.0
0,2,0.0,0.0
0,3,0.0,0.0
0,4,0.0,0.0
0,5,0.0,0.0
0,6,0.0,0.0
0,7,0.0,0.0
0,8,0.0,0.0
0,9,0.0,0.0
0,10,0.0,0.0
0,11,0.0,0.0
0,12,0.0,0.0
0,13,0.0,0.0
0,14,0.0,0.0
0,15,0.0,0.0
0,16,0.0,0.0
0,17,0.0,0.0
0,18,0.0,0.0
0,19,0.0,0.0
0,20,0.0,0.0
0,21,0.0,0.0
0,22,0.0,0.0
0,23,0.0,0.0
0,24,0.0,0.0
0,25,0.0,0.0
0,26,0.0,0.0
0,27,0.0,0.0
0,28,0.0,0.0
0,29,0.0,0.0
0,30,0.0,0.0
0,31,0.0,0.0
0,32,0.0,0.0
0,33,0.0,0.0
0,34,0.0,0.0
0,35,0.0,0.0
0,36,0.0,0.0
0,37,0.0,0.0
0,38,0.0,0.0
0,39,0.0,0.0
0,40,0.0,0.0
0,41,0.0,0.0
0,42,0.0,0.0
0,43,0.0,0.0
0,44,0.0,0.0
0,45,0.0,0.0
0,46,0.0,0.0
0,47,0.0,0.0
0,48,0.0,0.0
0,49,0.0,0.0
0,50,0.0,0.0
1,0,0.7729206168950726,0.8594987668517976
1,1,0.13128765460859737,0.0701341586389588
1,2,0.028513561723499243,0.017250244815631366
1,3,0.014306980284511371,0.009079926528853297
1,4,0.008852223723838754,0.005812259844139683
1,5,0.006112104778798059,0.004120161049739187
1,6,0.004516916843720459,0.0031160685798891545
1,7,0.0034894158701346003,0.0024590066484459516
1,8,0.0027869763237789247,0.0020055070436121366
1,9,0.002329671881755128,0.0016876393636053458
1,10,0.0019269841539905166,0.0014328834870169609
1,11,0.0016803305160955297,0.001253191311978714
1,12,0.0014236304669059013,0.0010946743522724546
1,13,0.001288990593193732,0.0009843605514869823
1,14,0.0011227816327451638,0.0008806326587844166
1,15,0.0010125958089424265,0.0008020837702000871
1,16,0.0009165337961474501,0.0007346510157676921
1,17,0.0008332279377457689,0.00067665600740694
1,18,0.0007735697616108352,0.0006294377764073377
1,19,0.0007154301511879194,0.000590071570574096
1,20,0.0006484795915545562,0.0005494918480540248
1,21,0.0006175931084959961,0.0005208142169139755
1,22,0.0005808893607081585,0.0004957391311079382
1,23,0.0005302477752438782,0.00046835412928113173
1,24,0.0005306614232484483,0.00045369587085853237
1,25,0.0004729888153139622,0.00043026669866155103
1,26,0.00047495865182705207,0.0004192711962054367
1,27,0.000438731631820308,0.00040323343866199184
1,28,0.00042554881439804774,0.0003927649035396104
1,29,0.0004170707730718989,0.00038520275064386837
1,30,0.00039097447913505443,0.00037509279875657433
1,31,0.0003849829525320396,0.00036932665908538204
1,32,0.00038086985585054727,0.0003663452322406898
1,33,0.00036373251223181596,0.00036178105657371147
1,34,0.00035770058131090454,0.0003601944613416375
1,35,0.00035182360506082905,0.00036036905464993717
1,36,0.0003461707215070375,0.00036222867375893664
1,37,0.00035106286401776355,0.00036704650232213045
1,38,0.00033684405289786566,0.00037146592707062157
1,39,0.0003462618385376384,0.00038075023653785865
1,40,0.0003433425690112984,0.0003917516276528688
1,41,0.0003495191189337235,0.0004071637750897864
1,42,0.0003517124479535668,0.0004265101792009876
1,43,0.00036183198955941863,0.0004528679070417109
1,44,0.00037382419158539596,0.0004881013342116695
1,45,0.0003913950944603926,0.0005363954299259677
1,46,0.0004141455933968718,0.0006055165730066
1,47,0.00044854953370583643,0.0007130833349189463
1,48,0.0005015252801918069,0.0009040343873083324
1,49,0.0005897931203289599,0.0013978825201589184
1,50,0.00031656989984302935,0.0012408762786516089
2,0,0.6771288883987369,0.7791604359922938
2,1,0.16003567671124022,0.0984352368029549
2,2,0.04113847955599999,0.02593478194521142
2,3,0.02179185392291234,0.014039042581592954
2,4,0.014001378606286962,0.009171573037823302
2,5,0.009927214827013076,0.006609833138530222
2,6,0.007559608964316679,0.0050689191891683605
2,7,0.005927115372396682,0.004054789466150868
