j,k,0,1
0,0,0.999999999999988,0.999999999999996
0,1,0.0,0.0
0,2,0.0,0.0
0,3,0.0,0.0
0,4,0.0,0.0
0,5,0.0,0.0
0,6,0.0,0.0
0,7,0.0,0.0
0,8,0.0,0.0
0,9,0.0,0.0
0,10,0.0,0.0
0,11,0.0,0.0
0,12,0.0,0.0
0,13,0.0,0.0
0,14,0.0,0.0
0,15,0.0,0.0
0,16,0.0,0.0
0,17,0.0,0.0
0,18,0.0,0.0
0,19,0.0,0.0
0,20,0.0,0.0
0,21,0.0,0.0
0,22,0.0,0.0
0,23,0.0,0.0
0,24,0.0,0.0
0,25,0.0,0.0
0,26,0.0,0.0
0,27,0.0,0.0
0,28,0.0,0.0
0,29,0.0,0.0
0,30,0.0,0.0
0,31,0.0,0.0
0,32,0.0,0.0
0,33,0.0,0.0
0,34,0.0,0.0
0,35,0.0,0.0
0,36,0.0,0.0
0,37,0.0,0.0
0,38,0.0,0.0
0,39,0.0,0.0
0,40,0.0,0.0
0,41,0.0,0.0
0,42,0.0,0.0
0,43,0.0,0.0
0,44,0.0,0.0
0,45,0.0,0.0
0,46,0.0,0.0
0,47,0.0,0.0
0,48,0.0,0.0
0,49,0.0,0.0
0,50,0.0,0.0
1,0,0.6690317500926626,0.8550931729880257
1,1,0.20094484358247222,0.06819543483392862
1,2,0.04629768539381618,0.019135325911378797
1,3,0.022446726072803815,0.010203288237916398
1,4,0.01336677339392448,0.0065420964705521665
1,5,0.008904402600829118,0.0046353050105408695
1,6,0.006372901839410125,0.0034966213020313254
1,7,0.00477058891595538,0.0027533975580627565
1,8,0.0037067726110760458,0.002240766513550816
1,9,0.0029692586915203226,0.0018717101099685108
1,10,0.0024256043680497283,0.0015922316291113868
1,11,0.0020148014132207797,0.0013781606296031721
1,12,0.0017173666873118738,0.001214061055585774
1,13,0.0014585669613340982,0.0010751710447210417
1,14,0.0012644200856132464,0.00096624699147408
1,15,0.0011068453343378254,0.0008748702171426064
1,16,0.000981896062615481,0.0008015441000867151
1,17,0.0008617926056607802,0.0007339676715355448
1,18,0.0007769841788549928,0.000682539491699532
1,19,0.0007009815675755621,0.0006345945618517766
1,20,0.0006296204420190046,0.0005941439180508137
1,21,0.0005733614531386745,0.000559819239792606
1,22,0.0005239573302632343,0.0005297192849967201
1,23,0.0004805162749941397,0.0005035346264821673
1,24,0.000442234410589857,0.0004806783590090442
1,25,0.000408392077576935,0.0004607567295357763
1,26,0.00037834959183152795,0.00044344963967274
1,27,0.00035154258486513217,0.0004284564541362429
1,28,0.00032747703834978186,0.000415639118547157
1,29,0.00030572411635360704,0.0004048980281702101
1,30,0.0002869375722340137,0.00039574651032091713
1,31,0.000270549764353192,0.000388138034347974
1,32,0.0002514442496070339,0.0003819161928468993
1,33,0.0002386902676182655,0.00037876969389375045
1,34,0.00022406400420285733,0.00037508808453531016
1,35,0.00021384581105039394,0.0003749034177553642
1,36,0.0002004643570697554,0.0003755445754937781
1,37,0.0001910331926866368,0.00037837598193166973
1,38,0.00018031208504789062,0.0003827572641931315
1,39,0.00017161426501493187,0.0003905395804083203
1,40,0.00016304285291581958,0.00040060006211391913
1,41,0.00015404936673414047,0.0004141424978466992
1,42,0.00014622649703397898,0.0004324687080605327
1,43,0.00013826318261109718,0.00045655282338683564
1,44,0.00013031311427290574,0.0004888219914873936
