j,k,0,1
0,0,0.999999999999988,0.9999999999999987
0,1,0.0,0.0
0,2,0.0,0.0
0,3,0.0,0.0
0,4,0.0,0.0
0,5,0.0,0.0
0,6,0.0,0.0
0,7,0.0,0.0
0,8,0.0,0.0
0,9,0.0,0.0
0,10,0.0,0.0
0,11,0.0,0.0
0,12,0.0,0.0
0,13,0.0,0.0
0,14,0.0,0.0
0,15,0.0,0.0
0,16,0.0,0.0
0,17,0.0,0.0
0,18,0.0,0.0
0,19,0.0,0.0
0,20,0.0,0.0
0,21,0.0,0.0
0,22,0.0,0.0
0,23,0.0,0.0
0,24,0.0,0.0
0,25,0.0,0.0
0,26,0.0,0.0
0,27,0.0,0.0
0,28,0.0,0.0
0,29,0.0,0.0
0,30,0.0,0.0
0,31,0.0,0.0
0,32,0.0,0.0
0,33,0.0,0.0
0,34,0.0,0.0
0,35,0.0,0.0
0,36,0.0,0.0
0,37,0.0,0.0
0,38,0.0,0.0
0,39,0.0,0.0
0,40,0.0,0.0
0,41,0.0,0.0
0,42,0.0,0.0
0,43,0.0,0.0
0,44,0.0,0.0
0,45,0.0,0.0
0,46,0.0,0.0
0,47,0.0,0.0
0,48,0.0,0.0
0,49,0.0,0.0
0,50,0.0,0.0
1,0,0.6690317500926626,0.7010105924369591
1,1,0.20094484358247222,0.17931938916239093
1,2,0.04629768539381618,0.04174886964326469
1,3,0.022446726072803815,0.020321846255762402
1,4,0.01336677339392448,0.01213587820670079
1,5,0.008904402600829118,0.008101876016692317
1,6,0.006372901839410125,0.00580661843662727
1,7,0.00477058891595538,0.004353488004620774
1,8,0.0037067726110760458,0.003387162463937899
1,9,0.0029692586915203226,0.0027155126601544396
1,10,0.0024256043680497283,0.0022198827235389244
1,11,0.0020148014132207797,0.0018458140255788436
1,12,0.0017173666873118738,0.0015736924043491854
1,13,0.0014585669613340982,0.001337831293298735
1,14,0.0012644200856132464,0.0011604402141930552
1,15,0.0011068453343378254,0.001015961926253999
1,16,0.000981896062615481,0.000901568274232936
1,17,0.0008617926056607802,0.0007919557779623018
1,18,0.0007769841788549928,0.0007142413285356115
1,19,0.0007009815675755621,0.0006440155437308319
1,20,0.0006296204420190046,0.0005790066364471929
1,21,0.0005733614531386745,0.0005273791978685819
1,22,0.0005239573302632343,0.00048202668572989575
1,23,0.0004805162749941397,0.00044213643143542497
1,24,0.000442234410589857,0.000406974934156997
1,25,0.000408392077576935,0.000375884784669872
1,26,0.00037834959183152795,0.00034828105026703325
1,27,0.00035154258486513217,0.0003236472303197373
1,28,0.00032747703834978186,0.0003015803735793123
1,29,0.00030572411635360704,0.0002816323761038699
1,30,0.0002869375722340137,0.0002642510505200832
