j,k,0,1
0,0,0.999999999999988,0.999999999999996
0,1,0.0,0.0
0,2,0.0,0.0
0,3,0.0,0.0
0,4,0.0,0.0
0,5,0.0,0.0
0,6,0.0,0.0
0,7,0.0,0.0
0,8,0.0,0.0
0,9,0.0,0.0
0,10,0.0,0.0
0,11,0.0,0.0
0,12,0.0,0.0
0,13,0.0,0.0
0,14,0.0,0.0
0,15,0.0,0.0
0,16,0.0,0.0
0,17,0.0,0.0
0,18,0.0,0.0
0,19,0.0,0.0
0,20,0.0,0.0
0,21,0.0,0.0
0,22,0.0,0.0
0,23,0.0,0.0
0,24,0.0,0.0
0,25,0.0,0.0
0,26,0.0,0.0
0,27,0.0,0.0
0,28,0.0,0.0
0,29,0.0,0.0
0,30,0.0,0.0
0,31,0.0,0.0
0,32,0.0,0.0
0,33,0.0,0.0
0,34,0.0,0.0
0,35,0.0,0.0
0,36,0.0,0.0
0,37,0.0,0.0
0,38,0.0,0.0
0,39,0.0,0.0
0,40,0.0,0.0
0,41,0.0,0.0
0,42,0.0,0.0
0,43,0.0,0.0
0,44,0.0,0.0
0,45,0.0,0.0
0,46,0.0,0.0
0,47,0.0,0.0
0,48,0.0,0.0
0,49,0.0,0.0
0,50,0.0,0.0
1,0,0.07806191270391741,0.14394040974917646
1,1,0.843888294690564,0.7241181927134538
1,2,0.07803767283332687,0.12024800124322897
1,3,1.211944596576903e-05,0.011480522099670458
1,4,3.2620545275676566e-10,0.00021153211457868278
1,5,1.0694662539226544e-14,1.3311814841755715e-06
1,6,5.745454010616008e-19,1.0729960795198767e-08
1,7,4.589634269779407e-23,1.6565830594226687e-10
1,8,0.0,2.745772491296714e-12
1,9,0.0,4.224529628329676e-14
1,10,0.0,6.384957899464833e-16
1,11,0.0,1.0333504984056505e-17
1,12,0.0,1.904001979337021e-19
1,13,0.0,3.9792688747901015e-21
1,14,0.0,8.980083323085854e-23
1,15,0.0,2.0953496731701468e-24
1,16,0.0,4.953667197145673e-26
1,17,0.0,1.1787646878656872e-27
1,18,0.0,2.8723150383171927e-29
1,19,0.0,7.015821460409425e-31
1,20,0.0,1.5337914383827269e-32
1,21,0.0,3.6706452676406104e-34
1,22,0.0,8.955511198838185e-36
1,23,0.0,1.4498922735189463e-37
1,24,0.0,2.8520523504782667e-39
1,25,0.0,6.066668473761563e-41
1,26,0.0,4.343913910346948e-43
1,27,0.0,9.378619063994342e-45
1,28,0.0,5.773742743277937e-48
1,29,0.0,0.0
1,30,0.0,0.0
1,31,0.0,0.0
1,32,0.0,0.0
1,33,0.0,0.0
1,34,0.0,0.0
1,35,0.0,0.0
1,36,0.0,0.0
1,37,0.0,0.0
1,38,0.0,0.0
1,39,0.0,0.0
1,40,0.0,0.0
1,41,0.0,0.0
1,42,0.0,0.0
1,43,0.0,0.0
1,44,0.0,0.0
1,45,0.0,0.0
1,46,0.0,0.0
1,47,0.0,0.0
1,48,0.0,0.0
1,49,0.0,0.0
1,50,9.262058931590366e-25,1.7954597189252762e-24
2,0,1.2120098408760808e-05,0.011927182054268199
2,1,0.15291338469249005,0.23601027612645428
2,2,0.6968757871216184,0.5300429789620668
2,3,0.14747478727601476,0.1875954559275631
2,4,0.0027089769016547,0.031332116460859455
2,5,1.489198480353987e-05,0.0028966200514290216
2,6,5.176987534776866e-08,0.0001830616276594465
