j,k,0,1
0,0,0.999999999999988,0.999999999999998
0,1,0.0,0.0
0,2,0.0,0.0
0,3,0.0,0.0
0,4,0.0,0.0
0,5,0.0,0.0
0,6,0.0,0.0
0,7,0.0,0.0
0,8,0.0,0.0
0,9,0.0,0.0
0,10,0.0,0.0
0,11,0.0,0.0
0,12,0.0,0.0
0,13,0.0,0.0
0,14,0.0,0.0
0,15,0.0,0.0
0,16,0.0,0.0
0,17,0.0,0.0
0,18,0.0,0.0
0,19,0.0,0.0
0,20,0.0,0.0
0,21,0.0,0.0
0,22,0.0,0.0
0,23,0.0,0.0
0,24,0.0,0.0
0,25,0.0,0.0
0,26,0.0,0.0
0,27,0.0,0.0
0,28,0.0,0.0
0,29,0.0,0.0
0,30,0.0,0.0
0,31,0.0,0.0
0,32,0.0,0.0
0,33,0.0,0.0
0,34,0.0,0.0
0,35,0.0,0.0
0,36,0.0,0.0
0,37,0.0,0.0
0,38,0.0,0.0
0,39,0.0,0.0
0,40,0.0,0.0
0,41,0.0,0.0
0,42,0.0,0.0
0,43,0.0,0.0
0,44,0.0,0.0
0,45,0.0,0.0
0,46,0.0,0.0
0,47,0.0,0.0
0,48,0.0,0.0
0,49,0.0,0.0
0,50,0.0,0.0
1,0,0.6690317500926626,0.9401552379741943
1,1,0.20094484358247222,0.02020857814405662
1,2,0.04629768539381618,0.005898349611682316
1,3,0.022446726072803815,0.0032301846936342226
1,4,0.01336677339392448,0.0021196833143137567
1,5,0.008904402600829118,0.0015337188417387459
1,6,0.006372901839410125,0.0011798833927867635
1,7,0.00477058891595538,0.0009467468338064235
1,8,0.0037067726110760458,0.0007844731927159072
1,9,0.0029692586915203226,0.0006667087193488733
1,10,0.0024256043680497283,0.0005770657878669584
1,11,0.0020148014132207797,0.0005080031713824987
1,12,0.0017173666873118738,0.00045451366494469027
1,13,0.0014585669613340982,0.00040958053276026087
1,14,0.0012644200856132464,0.00037403071358748887
1,15,0.0011068453343378254,0.00034420178570260354
1,16,0.000981896062615481,0.0003201899636798962
1,17,0.0008617926056607802,0.00029849585498342636
1,18,0.0007769841788549928,0.0002817423200294557
1,19,0.0007009815675755621,0.0002663392184875993
1,20,0.0006296204420190046,0.00025372129707481846
1,21,0.0005733614531386745,0.00024301394297212873
1,22,0.0005239573302632343,0.00023387505970482597
1,23,0.0004805162749941397,0.0002261903642526065
1,24,0.000442234410589857,0.00021976219144260371
1,25,0.000408392077576935,0.00021448317463409455
1,26,0.00037834959183152795,0.00021027099013091875
1,27,0.00035154258486513217,0.0002070487268058348
1,28,0.00032747703834978186,0.00020478402293606874
1,29,0.00030572411635360704,0.00020350216664110832
1,30,0.0002869375722340137,0.00020310109394080253
1,31,0.000270549764353192,0.0002034434207302909
1,32,0.0002514442496070339,0.00020503988847312758
1,33,0.0002386902676182655,0.0002077850697466711
1,34,0.00022406400420285733,0.00021128619749019546
1,35,0.00021384581105039394,0.0002164237638334863
1,36,0.0002004643570697554,0.00022301581325028465
1,37,0.0001910331926866368,0.00023132286303740603
1,38,0.00018031208504789062,0.00024172455818673806
1,39,0.00017161426501493187,0.0002550032021828749
1,40,0.00016304285291581958,0.0002715331291688401
1,41,0.00015404936673414047,0.0002926767022716894
1,42,0.00014622649703397898,0.00031994647717201635
1,43,0.00013826318261109718,0.0003559612021905829
1,44,0.00013031311427290574,0.00040504902224316265
1,45,0.00012169710109363114,0.0004752574736419339
1,46,0.00011246116275260604,0.0005822444877924105
1,47,0.00010137887462894646,0.0007640287757521875
1,48,8.63715364422912e-05,0.001139886051045209
1,49,6.078932491602231e-05,0.0025827121201941338
1,50,1.4313638676672365e-05,0.007838179019356368
2,0,0.539008343767808,0.9027419768773787
2,1,0.2327393942785805,0.02780102681587887
2,2,0.06790723717249139,0.008373101491196307
2,3,0.03581898966767532,0.004659671161294938
2,4,0.02264863147386823,0.00309587368919339
2,5,0.01580370834535588,0.0022632311510549833
2,6,0.011688558099179474,0.0017566589946784003
2,7,0.009062674295433493,0.0014210827592503613
2,8,0.007262834005084447,0.0011862051537571135
2,9,0.005954058711626964,0.0010149467656830314
2,10,0.004967327451162493,0.0008841229065204944
2,11,0.004234069258092939,0.0007830605716639366
2,12,0.0036596246853729726,0.0007043587453604009
2,13,0.0031864057141172907,0.0006384072041503209
2,14,0.0028161759384690167,0.0005859980301995258
2,15,0.0024967897337525185,0.0005419732255054094
2,16,0.002249859622963964,0.0005064945138624018
2,17,0.0020209353827466458,0.00047462040606590907
2,18,0.001850632659738857,0.0004499089494020971
2,19,0.0016749286228636595,0.0004272107418013376
2,20,0.001542499789531829,0.0004088728388781615
2,21,0.0014250348744646291,0.0003932786989449371
2,22,0.001320918407593145,0.0003801121209686181
2,23,0.0012286291590368683,0.00036917919017263125
2,24,0.0011467457896806492,0.00036019971006256177
2,25,0.0010739507014565653,0.0003530210290698309
2,26,0.0010090322126530646,0.00034753625814799247
2,27,0.0009508851956605824,0.0003436428702421674
