j,k,0,1
0,0,0.999999999999988,1.000000000000001
0,1,0.0,0.0
0,2,0.0,0.0
0,3,0.0,0.0
0,4,0.0,0.0
0,5,0.0,0.0
0,6,0.0,0.0
0,7,0.0,0.0
0,8,0.0,0.0
0,9,0.0,0.0
0,10,0.0,0.0
0,11,0.0,0.0
0,12,0.0,0.0
0,13,0.0,0.0
0,14,0.0,0.0
0,15,0.0,0.0
0,16,0.0,0.0
0,17,0.0,0.0
0,18,0.0,0.0
0,19,0.0,0.0
0,20,0.0,0.0
0,21,0.0,0.0
0,22,0.0,0.0
0,23,0.0,0.0
0,24,0.0,0.0
0,25,0.0,0.0
0,26,0.0,0.0
0,27,0.0,0.0
0,28,0.0,0.0
0,29,0.0,0.0
0,30,0.0,0.0
0,31,0.0,0.0
0,32,0.0,0.0
0,33,0.0,0.0
0,34,0.0,0.0
0,35,0.0,0.0
0,36,0.0,0.0
0,37,0.0,0.0
0,38,0.0,0.0
0,39,0.0,0.0
0,40,0.0,0.0
0,41,0.0,0.0
0,42,0.0,0.0
0,43,0.0,0.0
0,44,0.0,0.0
0,45,0.0,0.0
0,46,0.0,0.0
0,47,0.0,0.0
0,48,0.0,0.0
0,49,0.0,0.0
0,50,0.0,0.0
1,0,0.6690317500926626,0.8009759015062768
1,1,0.20094484358247222,0.10231000485889782
1,2,0.04629768539381618,0.027711980560286887
1,3,0.022446726072803815,0.014465545445366167
1,4,0.01336677339392448,0.009112220083129008
1,5,0.008904402600829118,0.006356502160324103
1,6,0.006372901839410125,0.0047270245528856876
1,7,0.00477058891595538,0.003672165111425386
1,8,0.0037067726110760458,0.002950628174109334
1,9,0.0029692586915203226,0.0024347936019463146
1,10,0.0024256043680497283,0.0020462635273048517
1,11,0.0020148014132207797,0.0017503736174490688
1,12,0.0017173666873118738,0.0015258244135009265
1,13,0.0014585669613340982,0.0013348222671610032
1,14,0.0012644200856132464,0.0011865803634051899
1,15,0.0011068453343378254,0.0010624530182903678
1,16,0.000981896062615481,0.0009635240666287681
1,17,0.0008617926056607802,0.0008712788644312573
1,18,0.0007769841788549928,0.0008022217826291755
1,19,0.0007009815675755621,0.0007375728756863597
1,20,0.0006296204420190046,0.0006821809806562128
1,21,0.0005733614531386745,0.0006358165751717453
1,22,0.0005239573302632343,0.0005947332817841779
1,23,0.0004805162749941397,0.000558721344938901
1,24,0.000442234410589857,0.0005270055958154598
1,25,0.000408392077576935,0.0004990109793837536
1,26,0.00037834959183152795,0.0004742726936134412
1,27,0.00035154258486513217,0.0004523627341372936
1,28,0.00032747703834978186,0.00043309589231077544
1,29,0.00030572411635360704,0.0004162289223353121
1,30,0.0002869375722340137,0.0004010515181189947
1,31,0.000270549764353192,0.0003878610453064726
1,32,0.0002514442496070339,0.0003751709199643663
1,33,0.0002386902676182655,0.0003669384757325389
1,34,0.00022406400420285733,0.00035659451480351233
1,35,0.00021384581105039394,0.00035077044330791726
1,36,0.0002004643570697554,0.0003444769207877942
1,37,0.0001910331926866368,0.00034033003639902037
1,38,0.00018031208504789062,0.00033661571459742406
1,39,0.00017161426501493187,0.00033578941918455037
1,40,0.00016304285291581958,0.0003357423777573139
1,41,0.00015404936673414047,0.0003372219629060259
1,42,0.00014622649703397898,0.00034131415622886237
1,43,0.00013826318261109718,0.00034752488917251203
1,44,0.00013031311427290574,0.000356872863855378
1,45,0.00012169710109363114,0.00037022028514847974
1,46,0.00011246116275260604,0.0003892259221238336
1,47,0.00010137887462894646,0.0004163897338616516
1,48,8.63715364422912e-05,0.00045742164465170475
1,49,6.078932491602231e-05,0.0005191564721775219
1,50,1.4313638676672365e-05,0.0002622008326341533
2,0,0.539008343767808,0.6953983297881403
2,1,0.2327393942785805,0.13912105610373424
2,2,0.06790723717249139,0.04103123830106565
2,3,0.03581898966767532,0.022279176436107696
2,4,0.02264863147386823,0.014454963276267491
2,5,0.01580370834535588,0.010328934093920147
2,6,0.011688558099179474,0.007839950768209763
2,7,0.009062674295433493,0.0062059836265121165
2,8,0.007262834005084447,0.005071291971787449
2,9,0.005954058711626964,0.004249463652680894
2,10,0.004967327451162493,0.0036239055334821484
2,11,0.004234069258092939,0.0031437008316067376
2,12,0.0036596246853729726,0.002773127707897822
2,13,0.0031864057141172907,0.002459355882239748
2,14,0.0028161759384690167,0.002212166910737746
2,15,0.0024967897337525185,0.0020035772601666663
2,16,0.002249859622963964,0.0018361361445618832
2,17,0.0020209353827466458,0.0016813834880863169
2,18,0.001850632659738857,0.001563222523127406
2,19,0.0016749286228636595,0.0014518936852987063
2,20,0.001542499789531829,0.001358491215625993
2,21,0.0014250348744646291,0.0012786651829225166
2,22,0.001320918407593145,0.0012081775543241382
2,23,0.0012286291590368683,0.001146561183367806
2,24,0.0011467457896806492,0.0010924400527652237
2,25,0.0010739507014565653,0.0010448868348277142
2,26,0.0010090322126530646,0.001003161710317496
2,27,0.0009508851956605824,0.000966564828338172
2,28,0.0009006036937991224,0.000934813436577001
2,29,0.0008550601633508274,0.0009077047019667018
2,30,0.000809614473776433,0.0008837198954901291
2,31,0.0007695835703334359,0.0008631494920505135
2,32,0.0007346383790975965,0.0008452892509531761
2,33,0.0007114516274563732,0.0008345771832375922
2,34,0.000672764806578296,0.000821395129544955
2,35,0.0006499202597678576,0.000816260076240834
2,36,0.0006279728613158798,0.0008120744999464227
2,37,0.0006043401423303999,0.0008120146937988877
2,38,0.000582085200968088,0.000814328155814621
2,39,0.0005663595801109445,0.0008231792305811639
2,40,0.0005481321047117135,0.0008352773380212891
2,41,0.0005316787533009538,0.0008527454526828459
2,42,0.0005177119247525182,0.0008778212618481569
2,43,0.0005026097332378195,0.0009110659860421207
2,44,0.0004885443557663432,0.0009557002180408904
2,45,0.00047410506167146606,0.0010163538117922205
2,46,0.00045795363253171286,0.001100546468344872
2,47,0.0004355652373688428,0.0012225557099889454
2,48,0.00040117593950582387,0.0014160998590271642
2,49,0.000319836879526485,0.0017745802828672771
2,50,8.941660226936716e-05,0.0010409413170237522
3,0,0.4552826228367692,0.6209599617368319
3,1,0.23984581135954786,0.15756726241172606
3,2,0.07963350393519712,0.04927056948950118
3,3,0.044268524896752294,0.02747000397748952
3,4,0.02893603974442878,0.018171842550426195
3,5,0.020718330485456623,0.013188252918512725
3,6,0.0157397048887453,0.010142563430867111
3,7,0.012404111600637195,0.008124131999105024
3,8,0.01008473375553511,0.006708786326115003
3,9,0.008412542479860705,0.00567536729314822
3,10,0.0071364872066210635,0.004883830664746603
3,11,0.006136273396140379,0.004272878344885925
3,12,0.005398183245410313,0.0037965269941776045
3,13,0.004732116744653484,0.0033947255518970033
3,14,0.004220381064267635,0.0030750729633467052
3,15,0.0038005892982022884,0.0028044515743333815
3,16,0.003458954349148972,0.0025859947269651433
3,17,0.0031196587046984038,0.0023857050023543655
3,18,0.0028796743821921686,0.002230641631013639
3,19,0.0026669018398525757,0.002084544288467482
3,20,0.0024517845826105963,0.00196351854340616
3,21,0.0022858866763845872,0.0018587295456963448
3,22,0.0021381223557598167,0.00176668798292137
3,23,0.0020066209267172548,0.001686507963752411
3,24,0.001889588018451511,0.0016163532976408482
3,25,0.0017853178464219644,0.001555074623392202
3,26,0.0016922032316815643,0.0015017540607389053
3,27,0.0016087434386757244,0.0014555067045796462
3,28,0.001533549919639727,0.00141597315225356
3,29,0.0014653500762282687,0.0013830641361965764
3,30,0.0014070575630455752,0.0013547168286611954
3,31,0.0013612852841102029,0.001330906546895153
3,32,0.0012954232670004124,0.0013125996428613737
3,33,0.0012600096018638978,0.00130304948929106
3,34,0.0012153003214189356,0.0012920299218612428
3,35,0.0011897532504351136,0.0012916702806041226
