j,k,0,1
0,0,1.000000000000101,0.999999999999997
0,1,0.0,0.0
0,2,0.0,0.0
0,3,0.0,0.0
0,4,0.0,0.0
0,5,0.0,0.0
0,6,0.0,0.0
0,7,0.0,0.0
0,8,0.0,0.0
0,9,0.0,0.0
0,10,0.0,0.0
0,11,0.0,0.0
0,12,0.0,0.0
0,13,0.0,0.0
0,14,0.0,0.0
0,15,0.0,0.0
0,16,0.0,0.0
0,17,0.0,0.0
0,18,0.0,0.0
0,19,0.0,0.0
0,20,0.0,0.0
0,21,0.0,0.0
0,22,0.0,0.0
0,23,0.0,0.0
0,24,0.0,0.0
0,25,0.0,0.0
0,26,0.0,0.0
0,27,0.0,0.0
0,28,0.0,0.0
0,29,0.0,0.0
0,30,0.0,0.0
0,31,0.0,0.0
0,32,0.0,0.0
0,33,0.0,0.0
0,34,0.0,0.0
0,35,0.0,0.0
0,36,0.0,0.0
0,37,0.0,0.0
0,38,0.0,0.0
0,39,0.0,0.0
0,40,0.0,0.0
0,41,0.0,0.0
0,42,0.0,0.0
0,43,0.0,0.0
0,44,0.0,0.0
0,45,0.0,0.0
0,46,0.0,0.0
0,47,0.0,0.0
0,48,0.0,0.0
0,49,0.0,0.0
0,50,0.0,0.0
1,0,0.2734345568437582,0.4196721490830039
1,1,0.5316418962915567,0.3578611059579685
1,2,0.14296974799384565,0.1308977024917269
1,3,0.035519507389346665,0.04761017211063791
1,4,0.01051791010897397,0.02058748364760729
1,5,0.003574102643100887,0.010047712620366436
1,6,0.0013459975651726375,0.0053354529057678
1,7,0.0005483362411726066,0.0030133720570849963
1,8,0.0002374823917551584,0.0017834862270767794
1,9,0.00010804119611386299,0.0010952976399893205
1,10,5.1137408339458e-05,0.000692890217114011
1,11,2.500212744525326e-05,0.0004490964091362576
1,12,1.2557489737147376e-05,0.0002970354293800086
1,13,6.447234288807269e-06,0.00019979166861204767
1,14,3.3713998106655904e-06,0.00013631376548914713
1,15,1.7893951598169977e-06,9.411888772264703e-05
1,16,9.614955299328857e-07,6.564921279662529e-05
1,17,5.214154183391442e-07,4.617159497608084e-05
1,18,2.850006662173709e-07,3.270583180822692e-05
1,19,1.5650946130154243e-07,2.3294828717183755e-05
