j,k,0,1
0,0,0.9999999999999427,1.0
0,1,0.0,0.0
0,2,0.0,0.0
0,3,0.0,0.0
0,4,0.0,0.0
0,5,0.0,0.0
0,6,0.0,0.0
0,7,0.0,0.0
0,8,0.0,0.0
0,9,0.0,0.0
0,10,0.0,0.0
0,11,0.0,0.0
0,12,0.0,0.0
0,13,0.0,0.0
0,14,0.0,0.0
0,15,0.0,0.0
0,16,0.0,0.0
0,17,0.0,0.0
0,18,0.0,0.0
0,19,0.0,0.0
0,20,0.0,0.0
0,21,0.0,0.0
0,22,0.0,0.0
0,23,0.0,0.0
0,24,0.0,0.0
0,25,0.0,0.0
0,26,0.0,0.0
0,27,0.0,0.0
0,28,0.0,0.0
0,29,0.0,0.0
0,30,0.0,0.0
0,31,0.0,0.0
0,32,0.0,0.0
0,33,0.0,0.0
0,34,0.0,0.0
0,35,0.0,0.0
0,36,0.0,0.0
0,37,0.0,0.0
0,38,0.0,0.0
0,39,0.0,0.0
0,40,0.0,0.0
0,41,0.0,0.0
0,42,0.0,0.0
0,43,0.0,0.0
0,44,0.0,0.0
0,45,0.0,0.0
0,46,0.0,0.0
0,47,0.0,0.0
0,48,0.0,0.0
0,49,0.0,0.0
0,50,0.0,0.0
1,0,0.2404324588235598,0.37686757352286554
1,1,0.5715179080822272,0.39754168393326766
1,2,0.1490986668637201,0.14462986826289495
1,3,0.029466708369824946,0.04679141345910055
1,4,0.0068229392839686,0.018092251635206738
1,5,0.0018284494514054304,0.00792991963802791
1,6,0.0005493464837251291,0.0037885455809324067
1,7,0.00018043065302351946,0.0019277853996782308
1,8,6.358572697421998e-05,0.0010297808012702599
1,9,2.371379155756229e-05,0.0005717861893657513
1,10,9.259463396565617e-06,0.0003276740563973551
1,11,3.7539740825440105e-06,0.00019274488682984893
1,12,1.5698277368132266e-06,0.00011587948913792796
1,13,6.734112836254253e-07,7.09542866640831e-05
1,14,2.949273422451607e-07,4.412004757457646e-05
1,15,1.3136629178047385e-07,2.7790806149290053e-05
1,16,5.930901259115722e-08,1.7694051509328456e-05
1,17,2.7059776594942317e-08,1.1365626100760144e-05
1,18,1.2437631253566723e-08,7.353033375528035e-06
1,19,5.746399150467758e-09,4.783652967366515e-06
1,20,2.662081169013361e-09,3.1250070201841435e-06
1,21,1.233418609382867e-09,2.0471378649881626e-06
1,22,5.705708290556139e-10,1.3430184508656062e-06
1,23,2.6275221216704267e-10,8.812400319780742e-07
1,24,1.2024835012138357e-10,5.776115884156519e-07
1,25,5.45438480206836e-11,3.776976283985838e-07
1,26,2.4464031443470758e-11,2.4606396758746914e-07
1,27,1.0821651234329748e-11,1.5948951957408694e-07
1,28,4.7079993443474905e-12,1.0269959529746501e-07
1,29,2.0078665000737306e-12,6.559160667777578e-08
1,30,8.367792793764793e-13,4.147867287794364e-08
1,31,3.3944532907843507e-13,2.591888327388326e-08
1,32,1.3344933767730624e-13,1.5969185192936402e-08
1,33,5.0587019064768745e-14,9.67626386823342e-09
1,34,1.838303025267397e-14,5.749272826172666e-09
1,35,6.3603431628585706e-15,3.337835249826022e-09
